url,anchor_text,label,label_name
https://ssc.gov.in/current-openings,Walk-in Interview at IBPS,1,CAREER_PAGE
https://ugc.gov.in/apply,KVS Apply Online Registration,0,DIRECT_APPLY
https://bsnl.co.in/jobs,Walk-in Interview at SAIL,1,CAREER_PAGE
https://sebi.gov.in/jobs,AAI Notification 2025,1,CAREER_PAGE
https://csir.res.in/disclaimer,Follow us on Facebook,3,IGNORE
https://gailonline.com/new-reg.php,New Registration,0,DIRECT_APPLY
https://powergrid.in/recruitment,ONGC Advertisement No. 18/2024,1,CAREER_PAGE
https://aai.aero/vacancies,Walk-in Interview at DRDO,1,CAREER_PAGE
https://barc.gov.in/recruitment,Latest SBI Jobs,1,CAREER_PAGE
https://t.me/govtjobs,Join Telegram Channel,3,IGNORE
https://ugc.gov.in/documents/GAIL-Recruitment-2026.pdf,ISRO Scientist/Engineer SC Recruitment 2026 - Download Notification PDF,2,NOTIFICATION_PDF
https://esic.gov.in/candidate/registration,Apply for Junior Resident,0,DIRECT_APPLY
https://sebi.gov.in/openings,Latest BEL Jobs,1,CAREER_PAGE
https://sebi.gov.in/signup.aspx,ISRO Apply Online Registration,0,DIRECT_APPLY
https://bhel.com/index.aspx,Photo Gallery,3,IGNORE
https://gailonline.com/careers/apply,GAIL ET Apply Online Registration,0,DIRECT_APPLY
https://gailonline.com/new-reg.aspx,Click Here to Apply,0,DIRECT_APPLY
https://uidai.gov.in/documents/BARC-Advertisement-2026.pdf,IBPS Clerk Recruitment CRP Clerks-XIV - Download Notification PDF,2,NOTIFICATION_PDF
https://ecil.co.in/privacy-policy,Share on Twitter,3,IGNORE
https://dae.gov.in/opportunities,BARC Recruitment Drive 2024,1,CAREER_PAGE
https://epfindia.gov.in/recruitment,TSPSC Vacancy Circular,1,CAREER_PAGE
https://rbi.org.in/notice-board,TSPSC Recruitment,1,CAREER_PAGE
https://fci.gov.in/newreg.aspx,IBPS Clerk Recruitment CRP Clerks-XIV - Apply Online,0,DIRECT_APPLY
https://nabard.org/notifications,GAIL Recruitment,1,CAREER_PAGE
https://dae.gov.in/disclaimer,Subscribe to Newsletter,3,IGNORE
https://delhimetrorail.com/documents/KVS-Notification-2025.pdf,Click here to download KVS recruitment notification,2,NOTIFICATION_PDF
